source,date,author,url,pick,team,player,position,school,conference,draft-id
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,1,chicago-bears,Caleb Williams,QB,USC,Pac-12,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,2,washington-commanders,Drake Maye,QB,North Carolina,ACC,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,3,new-england-patriots,Jayden Daniels,QB,LSU,SEC,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,4,arizona-cardinals,Marvin Harrison Jr.,WR,Ohio St.,Big Ten,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,5,los-angeles-chargers,Joe Alt,OT,Notre Dame,FBS Independent,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,6,new-york-giants,Malik Nabers,WR,LSU,SEC,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,7,tennessee-titans,Olumuyiwa Fashanu,OT,Penn St.,Big Ten,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,8,atlanta-falcons,J.J. McCarthy,QB,Michigan,Big Ten,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,9,chicago-bears,Rome Odunze,WR,Washington,Pac-12,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,10,new-york-jets,J.C. Latham,OT,Alabama,SEC,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,11,minnesota-vikings,Terrion Arnold,CB,Alabama,SEC,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,12,denver-broncos,Dallas Turner,EDGE,Alabama,SEC,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,13,las-vegas-raiders,Taliese Fuaga,OT,Oregon St.,Pac-12,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,14,new-orleans-saints,Jared Verse,EDGE,Florida St.,ACC,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,15,indianapolis-colts,Quinyon Mitchell,CB,Toledo,MAC,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,16,seattle-seahawks,Laiatu Latu,EDGE,UCLA,Pac-12,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,17,jacksonville-jaguars,Jackson Powers-Johnson,IOL,Oregon,Pac-12,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,18,cincinnati-bengals,Brock Bowers,TE,Georgia,SEC,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,19,los-angeles-rams,Cooper DeJean,CB,Iowa,Big Ten,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,20,pittsburgh-steelers,Amarius Mims,OT,Georgia,SEC,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,21,miami-dolphins,Graham Barton,IOL,Duke,ACC,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,22,philadelphia-eagles,Nate Wiggins,CB,Clemson,ACC,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,23,houston-texans,Byron Murphy,DL,Texas,Big 12,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,24,dallas-cowboys,Kool-Aid McKinstry,CB,Alabama,SEC,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,25,green-bay-packers,Tyler Guyton,OT,Oklahoma,Big 12,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,26,tampa-bay-buccaneers,Troy Fautanu,OT,Washington,Pac-12,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,27,arizona-cardinals,Jer'Zhan Newton,DL,Illinois,Big Ten,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,28,buffalo-bills,Brian Thomas Jr.,WR,LSU,SEC,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,29,detroit-lions,Ennis Rakestraw Jr.,CB,Missouri,SEC,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,30,baltimore-ravens,Darius Robinson,EDGE,Missouri,SEC,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,31,san-francisco-49ers,Jordan Morgan,OT,Arizona,Pac-12,33rd Team-1-Connor Livesay
33rd Team,2024-02-27,Connor Livesay,https://www.nflmockdraftdatabase.com/mock-drafts/2024/33rd-team-2024-connor-livesay?date=2024-02-27,32,kansas-city-chiefs,Ladd McConkey,WR,Georgia,SEC,33rd Team-1-Connor Livesay
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,1,chicago-bears,Caleb Williams,QB,USC,Pac-12,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,2,washington-commanders,Drake Maye,QB,North Carolina,ACC,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,3,new-york-giants,Jayden Daniels,QB,LSU,SEC,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,4,arizona-cardinals,Marvin Harrison Jr.,WR,Ohio St.,Big Ten,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,5,los-angeles-chargers,Joe Alt,OT,Notre Dame,FBS Independent,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,6,new-england-patriots,Malik Nabers,WR,LSU,SEC,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,7,tennessee-titans,Amarius Mims,OT,Georgia,SEC,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,8,minnesota-vikings,J.J. McCarthy,QB,Michigan,Big Ten,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,9,chicago-bears,Rome Odunze,WR,Washington,Pac-12,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,10,new-york-jets,Olumuyiwa Fashanu,OT,Penn St.,Big Ten,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,11,atlanta-falcons,Laiatu Latu,EDGE,UCLA,Pac-12,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,12,denver-broncos,Dallas Turner,EDGE,Alabama,SEC,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,13,las-vegas-raiders,Taliese Fuaga,OT,Oregon St.,Pac-12,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,14,cincinnati-bengals,Brock Bowers,TE,Georgia,SEC,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,15,indianapolis-colts,Terrion Arnold,CB,Alabama,SEC,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,16,seattle-seahawks,Byron Murphy,DL,Texas,Big 12,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,17,jacksonville-jaguars,Jer'Zhan Newton,DL,Illinois,Big Ten,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,18,new-orleans-saints,J.C. Latham,OT,Alabama,SEC,Buccaneers.com-1-Scott Smith
Buccaneers.com,2024-02-27,Scott Smith,https://www.nflmockdraftdatabase.com/mock-drafts/2024/buccaneers-com-2024-scott-smith?date=2024-02-27,19,los-angeles-rams,Quinyon Mitchell,CB,Toledo,MAC,Buccaneers.com-1-Scott Smith
